"AreaName","State","edu.total","edu.males","edu.females","m_no_school","m_hs","m_bs","m_ms","m_phd","f_no_school","f_hs","f_bs","f_ms","f_phd","year","cause","amt_death","AADR"
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Chronic liver disease and cirrhosis",504,9.35
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"CLRD",2057,45.45
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Septicemia",912,17.26
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Diabetes",1349,24.34
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Pneumonitis due to solids and liquids",318,6.96
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Diseases of Heart",12083,235.99
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Influenza and pneumonia",951,18.56
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Diabetes",1313,26.44
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"All Causes",46121,998.3
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Pneumonitis due to solids and liquids",290,5.77
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Kidney Disease",1184,23.11
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Diabetes",1278,23.94
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Stroke",2619,51.64
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Diabetes",1414,30.42
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Essential hypertension and hypertensive renal disease",549,10.63
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Stroke",2986,65.46
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Pneumonitis due to solids and liquids",290,6.5
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Diseases of Heart",13150,288.54
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Stroke",3148,71.45
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Cancer",10328,182.17
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Diseases of Heart",12036,225.1
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Unintentional Injuries",2283,46.57
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"CLRD",2866,55.43
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Diseases of Heart",11942,228.68
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Cancer",9801,213.04
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Suicide",535,11.52
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Homicide",391,8.27
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Homicide",433,9.65
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Chronic liver disease and cirrhosis",477,9.86
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"CLRD",2328,50.66
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Essential hypertension and hypertensive renal disease",291,6.5
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Alzheimers disease",1390,27.18
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Chronic liver disease and cirrhosis",412,9.16
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Chronic liver disease and cirrhosis",551,9.89
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Stroke",2568,49.4
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Influenza and pneumonia",1218,27.36
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Essential hypertension and hypertensive renal disease",313,7.1
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Influenza and pneumonia",1035,19.22
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Stroke",3028,66.98
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Diabetes",1341,30
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"All Causes",48681,933.6
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Influenza and pneumonia",942,18.66
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Influenza and pneumonia",1138,25.74
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Septicemia",848,18
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Septicemia",869,16.79
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"CLRD",2912,55.16
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Homicide",438,9.87
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Diabetes",1300,23.86
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Pneumonitis due to solids and liquids",284,5.32
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Diabetes",1321,29.26
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Pneumonitis due to solids and liquids",323,7.32
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Stroke",2628,49.46
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Diseases of Heart",13419,302.96
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"All Causes",50189,925.2
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"CLRD",2179,48.59
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Septicemia",854,18.64
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"All Causes",45316,1002.1
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Diseases of Heart",13207,292.72
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Chronic liver disease and cirrhosis",425,9.07
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Chronic liver disease and cirrhosis",489,9.13
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Diseases of Heart",13406,299.47
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Diabetes",1429,29.85
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Pneumonitis due to solids and liquids",273,5.88
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Chronic liver disease and cirrhosis",407,8.96
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Chronic liver disease and cirrhosis",505,9.76
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Chronic liver disease and cirrhosis",622,11.02
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Chronic liver disease and cirrhosis",445,9.6
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Diseases of Heart",13197,291.29
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Influenza and pneumonia",1157,25.86
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Kidney Disease",1107,22.34
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Cancer",10233,187.84
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Unintentional Injuries",2351,49.04
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Septicemia",895,16.59
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Cancer",9506,210.9
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Essential hypertension and hypertensive renal disease",539,10.23
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Kidney Disease",974,21.65
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"CLRD",3015,55.19
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Alzheimers disease",772,17.8
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Alzheimers disease",1497,32.72
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Alzheimers disease",1486,29.73
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Diabetes",1449,30.83
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Homicide",405,8.66
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Influenza and pneumonia",898,18.8
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Influenza and pneumonia",942,17.87
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Kidney Disease",979,22.18
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Influenza and pneumonia",918,19.52
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"All Causes",46716,1020.2
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Kidney Disease",1047,20.01
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Parkinsons disease",385,7.43
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Stroke",2604,48.06
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Suicide",721,14.4
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Stroke",2998,66.86
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Suicide",583,13.11
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Unintentional Injuries",2313,52.17
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Suicide",592,12.42
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Unintentional Injuries",2506,53.99
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Unintentional Injuries",2662,54.36
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Alzheimers disease",1268,28.83
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Pneumonitis due to solids and liquids",305,5.83
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"CLRD",2361,50.24
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Parkinsons disease",207,4.72
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Parkinsons disease",306,6.68
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Influenza and pneumonia",994,22.1
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Essential hypertension and hypertensive renal disease",501,10.04
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Kidney Disease",1062,23.22
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Essential hypertension and hypertensive renal disease",343,7.6
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Homicide",412,8.88
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Essential hypertension and hypertensive renal disease",585,10.64
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Stroke",2952,63.35
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Homicide",434,9.68
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Cancer",9899,199.43
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Alzheimers disease",1517,32.57
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2010,"Unintentional Injuries",2394,49.61
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"CLRD",3043,54.82
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Suicide",541,11.73
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Kidney Disease",1057,19.28
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Kidney Disease",1035,19.4
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"CLRD",2204,48.27
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"All Causes",47090,1001.3
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Diseases of Heart",12774,278.07
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Parkinsons disease",232,5.17
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Kidney Disease",1104,23
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Diabetes",1486,32.26
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"All Causes",47470,940.2
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Diabetes",1386,27.18
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Cancer",9756,204.54
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Parkinsons disease",321,6.79
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Unintentional Injuries",2542,53.8
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Parkinsons disease",239,5.37
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Kidney Disease",1036,22.07
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Homicide",445,9.72
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2011,"Homicide",392,8.31
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"All Causes",46069,1013.4
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Septicemia",756,16.29
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Parkinsons disease",214,4.84
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2012,"Suicide",724,14.74
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Influenza and pneumonia",1011,22.01
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Alzheimers disease",1521,31.59
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Diseases of Heart",11926,244.95
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Suicide",580,12.37
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Septicemia",866,16.99
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Kidney Disease",1049,22.82
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Stroke",2740,57.78
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Diseases of Heart",12583,262.99
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Cancer",10025,198.67
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"CLRD",2770,54.22
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Alzheimers disease",1189,27.04
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"All Causes",46977,979.5
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Influenza and pneumonia",952,19.18
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"Septicemia",769,15.67
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Essential hypertension and hypertensive renal disease",369,8.19
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Septicemia",771,17.01
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Parkinsons disease",256,5.71
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Alzheimers disease",895,20.39
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Parkinsons disease",363,7.38
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Septicemia",836,17.27
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2007,"CLRD",2530,51.32
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Homicide",416,9.31
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Influenza and pneumonia",912,18.66
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Septicemia",775,17.28
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Unintentional Injuries",2509,52.52
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Septicemia",691,15.6
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2002,"Unintentional Injuries",2228,49.59
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Parkinsons disease",348,7.22
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Influenza and pneumonia",1105,24.91
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Parkinsons disease",425,8.08
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2005,"Alzheimers disease",1501,33.44
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Pneumonitis due to solids and liquids",309,6.91
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2009,"Diseases of Heart",12021,237.96
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Diabetes",1344,29.56
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Unintentional Injuries",2211,49.45
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2004,"Essential hypertension and hypertensive renal disease",413,9.05
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2001,"Suicide",512,11.37
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Parkinsons disease",291,6.24
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"All Causes",47707,959.7
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2008,"Diseases of Heart",12074,243.3
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,1999,"Influenza and pneumonia",1228,28.2
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2000,"Stroke",3183,71.47
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2006,"Diabetes",1453,29.83
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2003,"Essential hypertension and hypertensive renal disease",402,8.77
"Alabama","AL",3239351,1532613,1706738,21478,490120,226204,82686,19299,20398,515175,252608,119311,13033,2013,"Chronic liver disease and cirrhosis",577,10.07
